Fecha_hecho,Conducta,Codigo_comuna,Cantidad_casos
2009-09,Extorsión,4,1
2009-09,Extorsión,7,1
2009-09,Extorsión,SIN DATO,6
2009-10,Extorsión,10,3
2009-10,Extorsión,11,1
2009-10,Extorsión,14,1
2009-10,Extorsión,15,1
2009-10,Extorsión,4,1
2009-10,Extorsión,6,1
2009-10,Extorsión,7,2
2009-10,Extorsión,SIN DATO,1
2009-11,Extorsión,10,2
2009-11,Extorsión,11,2
2009-11,Extorsión,15,1
2009-11,Extorsión,SIN DATO,2
2009-12,Extorsión,10,1
2009-12,Extorsión,11,1
2009-12,Extorsión,14,1
2009-12,Extorsión,9,1
2009-12,Extorsión,SIN DATO,3
2010-01,Extorsión,1,1
2010-01,Extorsión,10,3
2010-01,Extorsión,12,1
2010-01,Extorsión,15,1
2010-01,Extorsión,16,1
2010-01,Extorsión,4,1
2010-01,Extorsión,7,1
2010-01,Extorsión,80,1
2010-01,Extorsión,9,1
2010-01,Extorsión,SIN DATO,14
2010-02,Extorsión,10,2
2010-02,Extorsión,14,1
2010-02,Extorsión,3,1
2010-02,Extorsión,80,1
2010-02,Extorsión,SIN DATO,11
2010-03,Extorsión,1,1
2010-03,Extorsión,10,3
2010-03,Extorsión,14,2
2010-03,Extorsión,16,2
2010-03,Extorsión,4,1
2010-03,Extorsión,60,1
2010-03,Extorsión,SIN DATO,11
2010-04,Extorsión,10,1
2010-04,Extorsión,13,1
2010-04,Extorsión,7,2
2010-04,Extorsión,SIN DATO,11
2010-05,Extorsión,1,1
2010-05,Extorsión,11,1
2010-05,Extorsión,14,1
2010-05,Extorsión,90,1
2010-05,Extorsión,SIN DATO,5
2010-06,Extorsión,10,2
2010-06,Extorsión,11,1
2010-06,Extorsión,12,1
2010-06,Extorsión,13,1
2010-06,Extorsión,15,1
2010-06,Extorsión,16,1
2010-06,Extorsión,3,2
2010-06,Extorsión,SIN DATO,7
2010-07,Extorsión,10,3
2010-07,Extorsión,12,1
2010-07,Extorsión,13,1
2010-07,Extorsión,14,1
2010-07,Extorsión,5,1
2010-07,Extorsión,6,1
2010-07,Extorsión,60,1
2010-07,Extorsión,7,1
2010-07,Extorsión,8,1
2010-07,Extorsión,SIN DATO,1
2010-08,Extorsión,1,1
2010-08,Extorsión,10,1
2010-08,Extorsión,11,2
2010-08,Extorsión,13,2
2010-08,Extorsión,14,1
2010-08,Extorsión,60,1
2010-08,Extorsión,SIN DATO,7
2010-09,Extorsión,10,2
2010-09,Extorsión,11,1
2010-09,Extorsión,12,1
2010-09,Extorsión,4,1
2010-09,Extorsión,SIN DATO,2
2010-10,Extorsión,10,1
2010-10,Extorsión,14,1
2010-10,Extorsión,SIN DATO,4
2010-11,Extorsión,10,1
2010-11,Extorsión,13,1
2010-11,Extorsión,14,1
2010-11,Extorsión,16,1
2010-11,Extorsión,9,1
2010-11,Extorsión,SIN DATO,2
2010-12,Extorsión,11,1
2010-12,Extorsión,16,1
2010-12,Extorsión,2,1
2010-12,Extorsión,SIN DATO,1
2011-01,Extorsión,10,2
2011-01,Extorsión,12,3
2011-01,Extorsión,14,2
2011-01,Extorsión,16,2
2011-01,Extorsión,6,2
2011-01,Extorsión,SIN DATO,2
2011-02,Extorsión,10,3
2011-02,Extorsión,11,1
2011-02,Extorsión,14,1
2011-02,Extorsión,15,1
2011-02,Extorsión,16,1
2011-02,Extorsión,2,1
2011-02,Extorsión,4,1
2011-02,Extorsión,SIN DATO,1
2011-03,Extorsión,10,5
2011-03,Extorsión,11,1
2011-03,Extorsión,15,1
2011-03,Extorsión,7,1
2011-03,Extorsión,SIN DATO,1
2011-04,Extorsión,10,1
2011-04,Extorsión,16,2
2011-04,Extorsión,2,1
2011-04,Extorsión,4,1
2011-04,Extorsión,6,1
2011-04,Extorsión,7,1
2011-04,Extorsión,SIN DATO,2
2011-05,Extorsión,10,2
2011-05,Extorsión,11,2
2011-05,Extorsión,13,3
2011-05,Extorsión,15,1
2011-05,Extorsión,16,1
2011-05,Extorsión,SIN DATO,2
2011-06,Extorsión,10,1
2011-06,Extorsión,12,1
2011-06,Extorsión,13,9
2011-06,Extorsión,14,1
2011-06,Extorsión,16,1
2011-06,Extorsión,4,1
2011-06,Extorsión,5,1
2011-06,Extorsión,SIN DATO,2
2011-07,Extorsión,10,3
2011-07,Extorsión,11,2
2011-07,Extorsión,13,14
2011-07,Extorsión,15,1
2011-07,Extorsión,5,1
2011-07,Extorsión,7,1
2011-07,Extorsión,9,3
2011-07,Extorsión,SIN DATO,1
2011-08,Extorsión,10,2
2011-08,Extorsión,12,1
2011-08,Extorsión,13,4
2011-08,Extorsión,16,1
2011-08,Extorsión,4,1
2011-08,Extorsión,5,1
2011-08,Extorsión,6,1
2011-08,Extorsión,60,3
2011-08,Extorsión,9,1
2011-08,Extorsión,SIN DATO,5
2011-09,Extorsión,1,1
2011-09,Extorsión,10,2
2011-09,Extorsión,11,3
2011-09,Extorsión,13,8
2011-09,Extorsión,14,1
2011-09,Extorsión,15,1
2011-09,Extorsión,16,2
2011-09,Extorsión,4,2
2011-09,Extorsión,5,6
2011-09,Extorsión,6,3
2011-09,Extorsión,60,2
2011-09,Extorsión,7,1
2011-09,Extorsión,9,1
2011-09,Extorsión,SIN DATO,4
2011-10,Extorsión,1,1
2011-10,Extorsión,11,1
2011-10,Extorsión,12,1
2011-10,Extorsión,13,8
2011-10,Extorsión,15,1
2011-10,Extorsión,16,1
2011-10,Extorsión,5,1
2011-10,Extorsión,6,2
2011-10,Extorsión,60,2
2011-10,Extorsión,SIN DATO,2
2011-11,Extorsión,10,1
2011-11,Extorsión,11,2
2011-11,Extorsión,13,4
2011-11,Extorsión,16,1
2011-11,Extorsión,5,3
2011-11,Extorsión,6,1
2011-11,Extorsión,60,1
2011-11,Extorsión,7,1
2011-12,Extorsión,10,2
2011-12,Extorsión,13,2
2011-12,Extorsión,5,2
2011-12,Extorsión,6,3
2011-12,Extorsión,7,1
2011-12,Extorsión,8,1
2012-01,Extorsión,10,3
2012-01,Extorsión,13,1
2012-01,Extorsión,15,1
2012-01,Extorsión,16,3
2012-01,Extorsión,5,1
2012-01,Extorsión,7,1
2012-01,Extorsión,8,1
2012-01,Extorsión,9,1
2012-02,Extorsión,10,7
2012-02,Extorsión,11,2
2012-02,Extorsión,13,5
2012-02,Extorsión,4,1
2012-02,Extorsión,5,4
2012-02,Extorsión,6,2
2012-02,Extorsión,7,1
2012-02,Extorsión,8,1
2012-03,Extorsión,10,7
2012-03,Extorsión,11,1
2012-03,Extorsión,13,11
2012-03,Extorsión,14,1
2012-03,Extorsión,15,2
2012-03,Extorsión,16,1
2012-03,Extorsión,4,1
2012-03,Extorsión,5,1
2012-03,Extorsión,70,1
2012-03,Extorsión,SIN DATO,1
2012-04,Extorsión,10,2
2012-04,Extorsión,12,1
2012-04,Extorsión,13,1
2012-04,Extorsión,16,1
2012-04,Extorsión,5,3
2012-04,Extorsión,6,1
2012-04,Extorsión,60,1
2012-04,Extorsión,8,1
2012-04,Extorsión,9,1
2012-05,Extorsión,10,3
2012-05,Extorsión,11,1
2012-05,Extorsión,12,1
2012-05,Extorsión,13,5
2012-05,Extorsión,14,1
2012-05,Extorsión,15,1
2012-05,Extorsión,16,2
2012-05,Extorsión,5,2
2012-05,Extorsión,8,1
2012-05,Extorsión,SIN DATO,1
2012-06,Extorsión,1,1
2012-06,Extorsión,10,3
2012-06,Extorsión,11,1
2012-06,Extorsión,13,1
2012-06,Extorsión,14,2
2012-06,Extorsión,16,3
2012-06,Extorsión,2,1
2012-06,Extorsión,5,1
2012-06,Extorsión,6,1
2012-06,Extorsión,60,1
2012-07,Extorsión,10,2
2012-07,Extorsión,11,2
2012-07,Extorsión,12,1
2012-07,Extorsión,13,6
2012-07,Extorsión,14,2
2012-07,Extorsión,16,4
2012-07,Extorsión,5,2
2012-07,Extorsión,6,1
2012-07,Extorsión,7,2
2012-08,Extorsión,10,4
2012-08,Extorsión,13,3
2012-08,Extorsión,14,2
2012-08,Extorsión,5,1
2012-08,Extorsión,8,1
2012-08,Extorsión,SIN DATO,1
2012-09,Extorsión,1,1
2012-09,Extorsión,10,3
2012-09,Extorsión,11,1
2012-09,Extorsión,13,3
2012-09,Extorsión,14,3
2012-09,Extorsión,16,2
2012-09,Extorsión,4,1
2012-09,Extorsión,5,1
2012-09,Extorsión,6,1
2012-09,Extorsión,8,1
2012-09,Extorsión,9,1
2012-09,Extorsión,SIN DATO,1
2012-10,Extorsión,10,7
2012-10,Extorsión,11,2
2012-10,Extorsión,13,5
2012-10,Extorsión,15,2
2012-10,Extorsión,16,2
2012-10,Extorsión,5,1
2012-10,Extorsión,6,2
2012-10,Extorsión,60,1
2012-10,Extorsión,SIN DATO,3
2012-11,Extorsión,10,1
2012-11,Extorsión,11,1
2012-11,Extorsión,12,1
2012-11,Extorsión,13,1
2012-11,Extorsión,15,1
2012-11,Extorsión,16,3
2012-11,Extorsión,4,1
2012-11,Extorsión,5,3
2012-12,Extorsión,10,1
2012-12,Extorsión,11,1
2012-12,Extorsión,12,1
2012-12,Extorsión,13,1
2012-12,Extorsión,14,2
2012-12,Extorsión,16,2
2012-12,Extorsión,8,1
2012-12,Extorsión,9,1
2012-12,Extorsión,SIN DATO,2
2013-01,Extorsión,10,5
2013-01,Extorsión,11,1
2013-01,Extorsión,13,9
2013-01,Extorsión,14,2
2013-01,Extorsión,15,3
2013-01,Extorsión,16,5
2013-01,Extorsión,3,3
2013-01,Extorsión,5,1
2013-01,Extorsión,6,1
2013-01,Extorsión,60,1
2013-01,Extorsión,7,3
2013-01,Extorsión,80,2
2013-01,Extorsión,9,1
2013-01,Extorsión,SIN DATO,1
2013-02,Extorsión,1,1
2013-02,Extorsión,10,5
2013-02,Extorsión,11,9
2013-02,Extorsión,12,1
2013-02,Extorsión,13,2
2013-02,Extorsión,14,1
2013-02,Extorsión,15,6
2013-02,Extorsión,16,5
2013-02,Extorsión,3,1
2013-02,Extorsión,4,1
2013-02,Extorsión,5,2
2013-02,Extorsión,6,1
2013-02,Extorsión,7,3
2013-02,Extorsión,8,5
2013-02,Extorsión,9,1
2013-03,Extorsión,1,1
2013-03,Extorsión,10,7
2013-03,Extorsión,11,6
2013-03,Extorsión,12,1
2013-03,Extorsión,13,6
2013-03,Extorsión,14,3
2013-03,Extorsión,15,1
2013-03,Extorsión,16,5
2013-03,Extorsión,3,1
2013-03,Extorsión,4,1
2013-03,Extorsión,5,1
2013-03,Extorsión,6,2
2013-03,Extorsión,60,1
2013-03,Extorsión,7,1
2013-03,Extorsión,8,1
2013-03,Extorsión,SIN DATO,1
2013-04,Extorsión,10,15
2013-04,Extorsión,11,5
2013-04,Extorsión,12,4
2013-04,Extorsión,13,9
2013-04,Extorsión,14,3
2013-04,Extorsión,15,1
2013-04,Extorsión,16,5
2013-04,Extorsión,3,2
2013-04,Extorsión,5,7
2013-04,Extorsión,6,3
2013-04,Extorsión,60,1
2013-04,Extorsión,7,2
2013-04,Extorsión,9,3
2013-05,Extorsión,10,13
2013-05,Extorsión,11,6
2013-05,Extorsión,12,1
2013-05,Extorsión,13,8
2013-05,Extorsión,14,4
2013-05,Extorsión,15,3
2013-05,Extorsión,16,5
2013-05,Extorsión,4,3
2013-05,Extorsión,5,4
2013-05,Extorsión,6,2
2013-05,Extorsión,7,3
2013-05,Extorsión,8,3
2013-05,Extorsión,80,1
2013-05,Extorsión,9,1
2013-06,Extorsión,10,11
2013-06,Extorsión,11,3
2013-06,Extorsión,12,3
2013-06,Extorsión,13,2
2013-06,Extorsión,14,3
2013-06,Extorsión,16,4
2013-06,Extorsión,2,1
2013-06,Extorsión,4,1
2013-06,Extorsión,5,8
2013-06,Extorsión,6,4
2013-06,Extorsión,60,1
2013-06,Extorsión,8,2
2013-06,Extorsión,80,1
2013-06,Extorsión,9,2
2013-06,Extorsión,SIN DATO,1
2013-07,Extorsión,1,1
2013-07,Extorsión,10,10
2013-07,Extorsión,11,3
2013-07,Extorsión,12,1
2013-07,Extorsión,13,7
2013-07,Extorsión,14,5
2013-07,Extorsión,15,1
2013-07,Extorsión,16,4
2013-07,Extorsión,5,2
2013-07,Extorsión,6,1
2013-07,Extorsión,60,1
2013-07,Extorsión,7,2
2013-07,Extorsión,8,3
2013-07,Extorsión,9,2
2013-08,Extorsión,1,2
2013-08,Extorsión,10,9
2013-08,Extorsión,11,6
2013-08,Extorsión,12,2
2013-08,Extorsión,13,9
2013-08,Extorsión,14,6
2013-08,Extorsión,15,4
2013-08,Extorsión,16,1
2013-08,Extorsión,2,2
2013-08,Extorsión,3,2
2013-08,Extorsión,5,1
2013-08,Extorsión,6,2
2013-08,Extorsión,7,3
2013-08,Extorsión,9,4
2013-08,Extorsión,SIN DATO,1
2013-09,Extorsión,1,1
2013-09,Extorsión,10,10
2013-09,Extorsión,11,4
2013-09,Extorsión,12,2
2013-09,Extorsión,13,4
2013-09,Extorsión,14,5
2013-09,Extorsión,15,2
2013-09,Extorsión,2,2
2013-09,Extorsión,4,1
2013-09,Extorsión,5,4
2013-09,Extorsión,6,2
2013-09,Extorsión,70,1
2013-09,Extorsión,8,1
2013-09,Extorsión,9,1
2013-10,Extorsión,10,3
2013-10,Extorsión,11,1
2013-10,Extorsión,12,2
2013-10,Extorsión,13,1
2013-10,Extorsión,14,5
2013-10,Extorsión,15,3
2013-10,Extorsión,16,2
2013-10,Extorsión,4,1
2013-10,Extorsión,5,3
2013-10,Extorsión,6,2
2013-10,Extorsión,7,1
2013-11,Extorsión,10,2
2013-11,Extorsión,11,2
2013-11,Extorsión,6,1
2013-12,Extorsión,10,2
2013-12,Extorsión,11,1
2013-12,Extorsión,13,1
2013-12,Extorsión,16,1
2013-12,Extorsión,2,1
2014-01,Extorsión,10,6
2014-01,Extorsión,11,1
2014-01,Extorsión,12,1
2014-01,Extorsión,13,2
2014-01,Extorsión,15,1
2014-01,Extorsión,16,2
2014-01,Extorsión,2,1
2014-01,Extorsión,5,5
2014-01,Extorsión,6,3
2014-01,Extorsión,60,1
2014-01,Extorsión,8,1
2014-02,Extorsión,10,11
2014-02,Extorsión,11,4
2014-02,Extorsión,12,1
2014-02,Extorsión,13,1
2014-02,Extorsión,14,2
2014-02,Extorsión,15,1
2014-02,Extorsión,16,4
2014-02,Extorsión,5,3
2014-02,Extorsión,6,1
2014-02,Extorsión,60,1
2014-02,Extorsión,7,2
2014-02,Extorsión,8,1
2014-02,Extorsión,9,2
2014-03,Extorsión,10,5
2014-03,Extorsión,11,4
2014-03,Extorsión,12,1
2014-03,Extorsión,13,2
2014-03,Extorsión,14,1
2014-03,Extorsión,15,3
2014-03,Extorsión,16,4
2014-03,Extorsión,3,1
2014-03,Extorsión,4,1
2014-03,Extorsión,5,2
2014-03,Extorsión,60,1
2014-03,Extorsión,7,1
2014-03,Extorsión,8,2
2014-03,Extorsión,80,2
2014-03,Extorsión,9,1
2014-04,Extorsión,1,1
2014-04,Extorsión,10,4
2014-04,Extorsión,11,3
2014-04,Extorsión,13,3
2014-04,Extorsión,14,3
2014-04,Extorsión,15,1
2014-04,Extorsión,16,4
2014-04,Extorsión,3,2
2014-04,Extorsión,4,1
2014-04,Extorsión,5,2
2014-04,Extorsión,6,2
2014-04,Extorsión,7,2
2014-04,Extorsión,8,1
2014-04,Extorsión,9,1
2014-05,Extorsión,10,6
2014-05,Extorsión,11,1
2014-05,Extorsión,12,2
2014-05,Extorsión,13,3
2014-05,Extorsión,14,1
2014-05,Extorsión,15,2
2014-05,Extorsión,16,5
2014-05,Extorsión,3,1
2014-05,Extorsión,4,2
2014-05,Extorsión,5,1
2014-05,Extorsión,6,1
2014-05,Extorsión,60,3
2014-05,Extorsión,7,1
2014-05,Extorsión,8,1
2014-05,Extorsión,80,2
2014-05,Extorsión,9,2
2014-06,Extorsión,10,3
2014-06,Extorsión,11,3
2014-06,Extorsión,12,3
2014-06,Extorsión,13,2
2014-06,Extorsión,14,1
2014-06,Extorsión,15,1
2014-06,Extorsión,16,3
2014-06,Extorsión,4,2
2014-06,Extorsión,5,1
2014-06,Extorsión,6,1
2014-06,Extorsión,60,1
2014-06,Extorsión,7,3
2014-06,Extorsión,80,1
2014-06,Extorsión,9,2
2014-07,Extorsión,1,1
2014-07,Extorsión,10,6
2014-07,Extorsión,11,5
2014-07,Extorsión,12,3
2014-07,Extorsión,13,2
2014-07,Extorsión,14,1
2014-07,Extorsión,15,2
2014-07,Extorsión,16,1
2014-07,Extorsión,3,2
2014-07,Extorsión,5,4
2014-07,Extorsión,6,1
2014-07,Extorsión,7,2
2014-07,Extorsión,8,1
2014-07,Extorsión,9,1
2014-08,Extorsión,12,1
2014-08,Extorsión,13,2
2014-08,Extorsión,14,3
2014-08,Extorsión,15,2
2014-08,Extorsión,16,1
2014-08,Extorsión,2,1
2014-08,Extorsión,4,1
2014-08,Extorsión,5,4
2014-08,Extorsión,6,2
2014-08,Extorsión,7,1
2014-08,Extorsión,8,1
2014-08,Extorsión,9,2
2014-09,Extorsión,1,1
2014-09,Extorsión,10,7
2014-09,Extorsión,11,3
2014-09,Extorsión,13,2
2014-09,Extorsión,14,1
2014-09,Extorsión,15,2
2014-09,Extorsión,16,2
2014-09,Extorsión,2,1
2014-09,Extorsión,3,1
2014-09,Extorsión,5,1
2014-09,Extorsión,6,1
2014-09,Extorsión,7,1
2014-09,Extorsión,8,1
2014-09,Extorsión,80,2
2014-09,Extorsión,9,1
2014-10,Extorsión,10,2
2014-10,Extorsión,11,4
2014-10,Extorsión,14,3
2014-10,Extorsión,15,1
2014-10,Extorsión,4,2
2014-10,Extorsión,5,3
2014-10,Extorsión,6,1
2014-10,Extorsión,60,1
2014-10,Extorsión,8,2
2014-10,Extorsión,80,4
2014-10,Extorsión,9,1
2014-11,Extorsión,10,4
2014-11,Extorsión,11,3
2014-11,Extorsión,12,2
2014-11,Extorsión,13,2
2014-11,Extorsión,3,1
2014-11,Extorsión,4,2
2014-11,Extorsión,7,1
2014-11,Extorsión,8,1
2014-11,Extorsión,9,1
2014-12,Extorsión,1,1
2014-12,Extorsión,10,1
2014-12,Extorsión,11,2
2014-12,Extorsión,14,3
2014-12,Extorsión,6,1
2014-12,Extorsión,9,1
2015-01,Extorsión,10,5
2015-01,Extorsión,11,1
2015-01,Extorsión,12,1
2015-01,Extorsión,13,2
2015-01,Extorsión,14,1
2015-01,Extorsión,15,1
2015-01,Extorsión,16,2
2015-01,Extorsión,2,1
2015-01,Extorsión,4,1
2015-01,Extorsión,5,2
2015-01,Extorsión,7,4
2015-01,Extorsión,70,1
2015-01,Extorsión,9,1
2015-02,Extorsión,1,2
2015-02,Extorsión,10,6
2015-02,Extorsión,11,4
2015-02,Extorsión,12,1
2015-02,Extorsión,15,4
2015-02,Extorsión,16,9
2015-02,Extorsión,2,1
2015-02,Extorsión,3,1
2015-02,Extorsión,5,6
2015-02,Extorsión,50,1
2015-02,Extorsión,6,1
2015-02,Extorsión,7,2
2015-02,Extorsión,70,1
2015-02,Extorsión,8,1
2015-02,Extorsión,80,1
2015-02,Extorsión,9,2
2015-03,Extorsión,1,1
2015-03,Extorsión,10,3
2015-03,Extorsión,11,4
2015-03,Extorsión,12,1
2015-03,Extorsión,13,1
2015-03,Extorsión,14,1
2015-03,Extorsión,16,1
2015-03,Extorsión,5,1
2015-03,Extorsión,6,1
2015-03,Extorsión,7,1
2015-03,Extorsión,9,2
2015-04,Extorsión,10,3
2015-04,Extorsión,12,2
2015-04,Extorsión,13,2
2015-04,Extorsión,14,2
2015-04,Extorsión,15,2
2015-04,Extorsión,16,1
2015-04,Extorsión,2,1
2015-04,Extorsión,4,2
2015-04,Extorsión,5,1
2015-04,Extorsión,6,2
2015-04,Extorsión,60,1
2015-04,Extorsión,7,2
2015-05,Extorsión,1,1
2015-05,Extorsión,10,2
2015-05,Extorsión,12,2
2015-05,Extorsión,13,1
2015-05,Extorsión,14,1
2015-05,Extorsión,15,1
2015-05,Extorsión,16,1
2015-05,Extorsión,2,1
2015-05,Extorsión,3,1
2015-05,Extorsión,4,1
2015-05,Extorsión,5,4
2015-05,Extorsión,60,1
2015-05,Extorsión,7,2
2015-05,Extorsión,8,2
2015-06,Extorsión,10,7
2015-06,Extorsión,11,1
2015-06,Extorsión,12,1
2015-06,Extorsión,13,1
2015-06,Extorsión,14,2
2015-06,Extorsión,15,2
2015-06,Extorsión,16,3
2015-06,Extorsión,3,3
2015-06,Extorsión,5,8
2015-06,Extorsión,60,2
2015-06,Extorsión,8,1
2015-07,Extorsión,10,6
2015-07,Extorsión,11,5
2015-07,Extorsión,12,1
2015-07,Extorsión,13,3
2015-07,Extorsión,15,1
2015-07,Extorsión,16,2
2015-07,Extorsión,4,1
2015-07,Extorsión,5,4
2015-07,Extorsión,6,2
2015-07,Extorsión,60,1
2015-07,Extorsión,7,2
2015-07,Extorsión,70,1
2015-07,Extorsión,9,2
2015-08,Extorsión,1,1
2015-08,Extorsión,10,1
2015-08,Extorsión,11,5
2015-08,Extorsión,12,3
2015-08,Extorsión,13,1
